subject_ID,age_in_years,age_in_months,gender,gender_coded,catch_trials_score,percent_comprehension,info_choice,combination_order,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,uncertainty_level_1,uncertainty_level_2,uncertainty_level_L,uncertainty_level_R,delta_uncertainty_level
3399522,8,96,Male,2,100,1,0,0,cognitive_1,,,,,3221.41,,,3,2,3,2,-1
3399522,8,96,Male,2,100,1,1,1,cognitive_2,,,,,5030.12,,,3,2,2,3,1
3399522,8,96,Male,2,100,1,1,1,cognitive_3,,,1,,1521.78,3579.27,,4,3,3,4,1
3399522,8,96,Male,2,100,1,0,0,cognitive_4,,,0,,1453.985,3030.08,,4,3,4,3,-1
3399522,8,96,Male,2,100,1,1,1,cognitive_5,,1,0,,1150.5,3859.42,3846.875,3,1,1,3,2
3399522,8,96,Male,2,100,1,0,0,cognitive_6,,1,,,3063.23,,3798.82,4,2,4,2,-2
3399522,8,96,Male,2,100,1,0,0,cognitive_7,,0,1,,2051.3,3783.505,3486.37,3,1,3,1,-2
3399522,8,96,Male,2,100,1,1,1,cognitive_8,,,,,2170.145,,,4,2,2,4,2
3399522,8,96,Male,2,100,1,0,0,cognitive_9,,,,,1140.75,,,4,1,4,1,-3
3399522,8,96,Male,2,100,1,1,1,cognitive_10,,,,,4489.555,,,4,1,1,4,3
3399522,8,96,Male,2,100,1,,0,catch_1,0,,,1610.2,,,,nan,nan,nan,nan,nan
3399522,8,96,Male,2,100,1,,0,catch_2,1,,,3525.095,,,,nan,nan,nan,nan,nan
3400896,5,64,Male,2,100,1,1,1,cognitive_1,,1,1,,33700.01,3907.715,3593.79,3,2,2,3,1
3400896,5,64,Male,2,100,1,0,0,cognitive_2,,,,,7699.7,,,3,2,3,2,-1
3400896,5,64,Male,2,100,1,0,1,cognitive_3,,,,,3958.89,,,4,3,3,4,1
3400896,5,64,Male,2,100,1,0,0,cognitive_4,,0,0,,2919.69,2673.115,3675.37,4,3,4,3,-1
3400896,5,64,Male,2,100,1,0,0,cognitive_5,,,,,1939.27,,,3,1,3,1,-2
3400896,5,64,Male,2,100,1,1,1,cognitive_6,,0,,,6136.8,,2196.785,4,2,2,4,2
3400896,5,64,Male,2,100,1,1,1,cognitive_7,,,,,2858.06,,,3,1,1,3,2
3400896,5,64,Male,2,100,1,1,1,cognitive_8,,,0,,21161.04,3040.255,,4,2,2,4,2
3400896,5,64,Male,2,100,1,0,0,cognitive_9,,,,,5895.15,,,4,1,4,1,-3
