subject_ID,age_in_years,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR
3714644,25,Male,1,Adults,4,0,trial_1,,,,,2236.355,,,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",50,0,10,6.666666667,13.33333333,-6.666666667,5.773502692,9.428090416,1,1,-3.333333333,3.654587724,0,-50,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",13.33333333,6.666666667,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,1,0.90625,20,0
3714644,25,Male,1,Adults,4,0,trial_2,,0,0,,976.0149999,1181.015,5490.79,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",100,100,8.333333333,5,6.666666667,3.333333333,8.975274679,7.637626158,3,1,-3.333333333,-1.33764852,-2,0,"{""FishSmall"":0,""FishBig"":2,""CanSmall"":0,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",6.666666667,5,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,2,0.90625,20,10
3714644,25,Male,1,Adults,4,0,trial_3,,,1,,6500.23,,938.1149999,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":2}",0,100,6.666666667,-8.333333333,16.66666667,0,7.453559925,6.871842709,3,2,-15,-0.581717216,-1,100,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",16.66666667,-8.333333333,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,3,0.90625,0,0
3714644,25,Male,1,Adults,4,0,trial_4,,,0,,1116.945,,1442.56,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",0,100,13.33333333,8.333333333,10,6.666666667,4.714045208,8.975274679,0,0,-5,4.261229471,0,100,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",10,8.333333333,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,4,0.90625,0,20
3714644,25,Male,1,Adults,4,1,trial_5,,,0,,2015.43,,1356.085,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,100,-6.666666667,8.333333333,6.666666667,3.333333333,4.714045208,8.975274679,2,3,15,4.261229471,1,100,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-6.666666667,3.333333333,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,5,0.90625,0,-10
3714644,25,Male,1,Adults,4,0,trial_6,,1,,,2934.785,1151.825,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":2,""Seaweed"":1}",100,0,-10,-11.66666667,-13.33333333,-13.33333333,5.773502692,6.871842709,1,1,-1.666666667,1.098340017,0,-100,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}",-13.33333333,-11.66666667,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,6,0.90625,0,0
3714644,25,Male,1,Adults,4,0,trial_7,,0,0,,1049.31,1477.115,3179.535,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":1,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",100,50,8.333333333,11.66666667,6.666666667,13.33333333,8.975274679,8.975274679,3,2,3.333333333,0,-1,-50,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",6.666666667,11.66666667,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,7,0.90625,-10,10
3714644,25,Male,1,Adults,4,0,trial_8,,0,1,,1222.31,746.425,1317.555,"{""FishSmall"":3,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}",100,100,11.66666667,-6.666666667,13.33333333,-16.66666667,6.871842709,9.428090416,1,1,-18.33333333,2.556247706,0,0,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",13.33333333,-6.666666667,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,8,0.90625,10,0
3714644,25,Male,1,Adults,4,0,trial_9,,,,,12977.96,,,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",50,0,8.333333333,10,-6.666666667,13.33333333,8.975274679,5.773502692,3,1,1.666666667,-3.201771987,-2,-50,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",-6.666666667,10,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,9,0.90625,0,10
3714644,25,Male,1,Adults,4,1,trial_10,,1,0,,3494.35,866.01,6227.605,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}",100,100,-6.666666667,10,-3.333333333,6.666666667,7.453559925,8.164965809,3,2,16.66666667,0.711405884,-1,0,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-6.666666667,6.666666667,1,630.969,0.961538462,2,2,2,2,2,2,2,2,2,2,1,2,2,100,10,0.90625,0,-10
