subject_ID,age_in_years,gender,gender_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,prop_correct_fishing
3714605,22,Male,1,1,trial_1,,,0,,3181,2612,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",50,50,-13.33333333,3.333333333,7.453559925,7.453559925,1,2,16.66666667,-8.88E-16,1,0,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_2,,1,1,,2754,8065,1689,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}",100,50,6.666666667,-1.666666667,7.453559925,8.975274679,3,1,-8.333333333,1.521714754,-2,-50,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,1,trial_3,,,0,,1402,2107,,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":3}",50,50,-11.66666667,3.333333333,8.975274679,9.428090416,2,3,15,0.452815737,1,0,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_4,,0,,,2224,,2007,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",100,0,-3.333333333,-13.33333333,9.428090416,7.453559925,3,1,-10,-1.974530491,-2,-100,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_5,,,0,,3306,2642,,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":1,""Seaweed"":1}","{""FishSmall"":3,""FishBig"":3,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,100,-6.666666667,15,9.428090416,5,1,0,21.66666667,-4.428090416,-1,100,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,1,trial_6,,1,,,4471,,735,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",50,0,-5,-13.33333333,9.574271078,7.453559925,2,1,-8.333333333,-2.120711153,-1,-50,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_7,,,,,4300,,,"{""FishSmall"":2,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",0,0,10,-1.666666667,8.164965809,6.871842709,2,3,-11.66666667,-1.2931231,1,0,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_8,,,,,6660,,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}",0,0,-1.666666667,-11.66666667,8.975274679,8.975274679,1,2,-10,0,1,0,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,1,trial_9,,1,,,3806,,4859,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":2,""Seaweed"":1}",50,0,-5,-11.66666667,9.574271078,6.871842709,2,1,-6.666666667,-2.702428368,-1,-50,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,0,trial_10,,,0,,5734,1584,,"{""FishSmall"":3,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",50,100,8.333333333,15,6.871842709,7.637626158,2,1,6.666666667,0.765783449,-1,50,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,,,,,catch_1,0,,,6474,,,,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.7
3714605,22,Male,1,0,trial_11,,,0,,5393,4161,,"{""FishSmall"":2,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}",0,100,10,0,8.164965809,8.164965809,2,2,-10,0,0,100,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
3714605,22,Male,1,1,trial_12,,1,0,,3734,2305,7092,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",50,50,-3.333333333,6.666666667,9.428090416,9.428090416,0,1,10,0,1,0,1,1399.2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,100,0.7
