subject_ID,age_in_years,age_in_months,gender,gender_coded,age_group,age_group_coded,info_choice,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingL,RT_fishingR,items_countL,items_countR,agency_probL,agency_probR,EV_L,EV_R,EV_flashL,EV_flashR,SD_L,SD_R,uncertainty_level_L,uncertainty_level_R,delta_EV,delta_SD,delta_uncertainty_level,delta_agency,items_count_flashL,items_count_flashR,EV_at_fishingL,EV_at_fishingR,wob,avg_wob_RT,percent_comprehension,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,catch_trials_score,trial_number,prop_correct_fishing,fishing_rewardL,fishing_rewardR,fishing_rewardL_rational_fishing,fishing_rewardR_rational_fishing,avg_fishing_reward,avg_fishing_reward_rational_fishing,reward_EV_info,reward_EV_no_info,reward_uncertainty_info,reward_uncertainty_no_info,reward_agency_info,reward_agency_no_info
6487920,5,60,Female,2,5-Apr,0,0,trial_1,,0,,,4959,4630,,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",100,0,0,-10,3.333333333,-16.66666667,8.164965809,8.164965809,2,2,-10,0,0,-100,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}",3.333333333,-10,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,1,0.625,-10,0,10,-10,1.166666667,2.166666667,3.333333333,-10,2,0,-10,0
6487920,5,60,Female,2,5-Apr,0,1,trial_2,,0,0,,12229,3909,4680,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":0}",100,100,-3.333333333,-3.333333333,6.666666667,-3.333333333,9.428090416,9.428090416,3,0,0,0,-3,0,"{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",-3.333333333,-3.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,2,0.625,-10,-10,0,0,1.166666667,2.166666667,-3.333333333,-3.333333333,0,0,-10,-10
6487920,5,60,Female,2,5-Apr,0,0,trial_3,,0,1,,8427,9329,8507,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}",100,50,5,-8.333333333,10,-13.33333333,9.574271078,8.975274679,2,3,-13.33333333,-0.598996399,1,-50,"{""FishSmall"":0,""FishBig"":2,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}",10,-8.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,3,0.625,20,0,-10,0,1.166666667,2.166666667,10,-8.333333333,2,0,20,0
6487920,5,60,Female,2,5-Apr,0,1,trial_4,,,0,,13951,,4375,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",0,50,1.666666667,-3.333333333,3.333333333,-6.666666667,8.975274679,9.428090416,1,3,-5,0.452815737,2,50,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":0}",1.666666667,-6.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,4,0.625,-10,10,10,0,1.166666667,2.166666667,-6.666666667,1.666666667,3,0,10,-10
6487920,5,60,Female,2,5-Apr,0,0,trial_5,,,0,,11366,,8820,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}",0,100,-10,-5,-16.66666667,-10,8.164965809,9.574271078,2,2,5,1.409305268,0,100,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":0,""CanBig"":2,""Seaweed"":0}",-16.66666667,-5,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,5,0.625,0,-20,0,0,1.166666667,2.166666667,-16.66666667,-5,2,0,0,-20
6487920,5,60,Female,2,5-Apr,0,1,trial_6,,,,,14182,,,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":3}",0,50,8.333333333,-6.666666667,10,0,8.975274679,7.453559925,0,3,-15,-1.521714754,3,50,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",8.333333333,0,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,6,0.625,10,0,10,20,1.166666667,2.166666667,0,8.333333333,3,0,0,10
6487920,5,60,Female,2,5-Apr,0,1,trial_7,,0,1,,20533,3636,16663,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":0,""Seaweed"":3}",100,100,0,-1.666666667,3.333333333,6.666666667,8.164965809,6.871842709,2,3,-1.666666667,-1.2931231,1,0,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",0,6.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,7,0.625,-10,0,0,20,1.166666667,2.166666667,6.666666667,0,3,0,0,-10
6487920,5,60,Female,2,5-Apr,0,0,trial_8,,0,0,,10577,21938,37139,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":2}",100,100,-8.333333333,-6.666666667,-6.666666667,0,8.975274679,4.714045208,3,2,1.666666667,-4.261229471,-1,0,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":2,""CanBig"":0,""Seaweed"":0}",-6.666666667,-6.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,8,0.625,20,20,0,0,1.166666667,2.166666667,-6.666666667,-6.666666667,3,0,20,20
6487920,5,60,Female,2,5-Apr,0,0,trial_9,,0,1,,60614,5378,10740,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":3,""Seaweed"":2}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",100,100,-11.66666667,-3.333333333,-6.666666667,3.333333333,8.975274679,7.453559925,2,2,8.333333333,-1.521714754,0,0,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",-6.666666667,-3.333333333,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,9,0.625,-20,0,0,0,1.166666667,2.166666667,-6.666666667,-3.333333333,2,0,-20,0
6487920,5,60,Female,2,5-Apr,0,0,trial_10,,1,1,,7717,6709,6828,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":0,""Seaweed"":2}",100,100,-5,-6.666666667,-10,-10,9.574271078,4.714045208,2,2,-1.666666667,-4.86022587,0,0,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":0}",-10,-6.666666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,10,0.625,0,0,0,0,1.166666667,2.166666667,-10,-6.666666667,2,0,0,0
6487920,5,60,Female,2,5-Apr,0,,catch_1,0,,,6436,,,,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",0,0,,,,,,,,,,,,,"{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":2,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",,,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,,0.625,,,,,,,,,,,,
6487920,5,60,Female,2,5-Apr,0,0,trial_11,,,,,12982,,,"{""FishSmall"":0,""FishBig"":4,""CanSmall"":0,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":3,""CanBig"":2,""Seaweed"":1}",0,0,13.33333333,-11.66666667,16.66666667,-13.33333333,9.428090416,6.871842709,2,1,-25,-2.556247706,-1,0,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":0}",16.66666667,-11.66666667,1,9950.3,0.807692308,2,1,2,2,1,1,1,1,2,2,2,2,2,100,11,0.625,0,0,0,-20,1.166666667,2.166666667,16.66666667,-11.66666667,2,0,0,0
