subject_ID,age_in_years,gender,gender_coded,percent_comprehension,catch_trials_score,info_choice,combination_order,condition,catch_trials,fishing_choiceL,fishing_choiceR,RT_catch,RT_info_choice,RT_fishingR,RT_fishingL,agency_1,agency_2,agency_probL,agency_probR,delta_agency
3319465,6,Male,1,0.909090909,100,1,0,instrumental_1,,0,0,,10231.315,7641.685,7454.5,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,0,0,instrumental_2,,1,,,7090.06,,7690.395,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,1,0,instrumental_3,,1,1,,5882.12,7558.65,6770.36,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,0,0,instrumental_4,,0,1,,4851.135,7189.75,3707.98,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,1,1,instrumental_5,,1,1,,7151.27,7057.005,7042.2,100,50,50,100,50
3319465,6,Male,1,0.909090909,100,0,0,instrumental_6,,0,1,,9206.54,9178.35,7553.165,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,0,0,instrumental_7,,0,1,,6469.975,8868.065,7306.625,100,50,100,50,-50
3319465,6,Male,1,0.909090909,100,1,1,instrumental_8,,1,0,,4938.725,7366.56,7156.135,100,50,50,100,50
3319465,6,Male,1,0.909090909,100,1,1,instrumental_9,,,0,,9580.11,8216.05,,100,50,50,100,50
3319465,6,Male,1,0.909090909,100,1,1,instrumental_10,,,1,,5384.39,8162.59,,100,50,50,100,50
3319465,6,Male,1,0.909090909,100,,0,catch_1,0,,,6383.72,,,,nan,nan,nan,nan,nan
3319465,6,Male,1,0.909090909,100,,0,catch_2,1,,,6376.585,,,,nan,nan,nan,nan,nan
3323161,4,Male,1,0.818181818,100,1,0,instrumental_1,,0,,,3392.995,,7670.985,100,50,100,50,-50
3323161,4,Male,1,0.818181818,100,1,1,instrumental_2,,1,0,,4746.685,9657.85,10311.1,100,50,50,100,50
3323161,4,Male,1,0.818181818,100,1,1,instrumental_3,,,1,,9692.5,10734.68,,100,50,50,100,50
3323161,4,Male,1,0.818181818,100,1,0,instrumental_4,,1,,,6359.195,,10936.845,100,50,100,50,-50
3323161,4,Male,1,0.818181818,100,1,1,instrumental_5,,0,0,,9721.225,7990.815,5381.135,100,50,50,100,50
3323161,4,Male,1,0.818181818,100,1,0,instrumental_6,,1,,,18002.505,,8605.945,100,50,100,50,-50
3323161,4,Male,1,0.818181818,100,0,1,instrumental_7,,,0,,9032.275,7215.575,,100,50,50,100,50
3323161,4,Male,1,0.818181818,100,1,0,instrumental_8,,1,,,6708.515,,8485.63,100,50,100,50,-50
3323161,4,Male,1,0.818181818,100,0,0,instrumental_9,,0,,,7702.695,,7180.39,100,50,100,50,-50
3323161,4,Male,1,0.818181818,100,1,1,instrumental_10,,0,0,,9707.055,11694.56,9022.675,100,50,50,100,50
3323161,4,Male,1,0.818181818,100,,0,catch_1,0,,,8021.63,,,,nan,nan,nan,nan,nan
3323161,4,Male,1,0.818181818,100,,0,catch_2,1,,,13301.38,,,,nan,nan,nan,nan,nan
3323475,7,Male,1,0.954545455,100,0,1,instrumental_1,,,0,,2698.61,4958.97,,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,1,1,instrumental_2,,,0,,6148.73,3307.945,,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,0,1,instrumental_3,,0,0,,5378.105,2617.88,11133.02,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,0,0,instrumental_4,,1,,,3042.76,,6833.405,100,50,100,50,-50
3323475,7,Male,1,0.954545455,100,0,0,instrumental_5,,0,,,6164.545,,7767.025,100,50,100,50,-50
3323475,7,Male,1,0.954545455,100,1,1,instrumental_6,,0,1,,3144.055,7637.535,2103.275,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,1,1,instrumental_7,,1,0,,3034.115,1838.41,4469.695,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,1,0,instrumental_8,,0,0,,5325.005,3959.39,9432.39,100,50,100,50,-50
3323475,7,Male,1,0.954545455,100,1,0,instrumental_9,,0,,,2378.365,,6158.795,100,50,100,50,-50
3323475,7,Male,1,0.954545455,100,1,1,instrumental_10,,,1,,4971.705,4523.05,,100,50,50,100,50
3323475,7,Male,1,0.954545455,100,,0,catch_1,0,,,5972.18,,,,nan,nan,nan,nan,nan
3323475,7,Male,1,0.954545455,100,,0,catch_2,1,,,2056.305,,,,nan,nan,nan,nan,nan
3323902,5,Male,1,0.954545455,100,0,0,instrumental_1,,0,1,,4247,3017.025,3255.65,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,1,0,instrumental_2,,1,0,,4329.135,6447.91,4666.81,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,0,0,instrumental_3,,1,0,,7952.975,1938.065,7309.92,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,0,0,instrumental_4,,0,1,,5408.255,3767.475,2973.78,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,1,0,instrumental_5,,0,,,2987.81,,8784.29,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,1,1,instrumental_6,,,0,,2697.19,10311.23,,100,50,50,100,50
3323902,5,Male,1,0.954545455,100,1,1,instrumental_7,,0,1,,4014.045,3263.645,4832.615,100,50,50,100,50
3323902,5,Male,1,0.954545455,100,1,0,instrumental_8,,0,,,3743.325,,7092.13,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,0,0,instrumental_9,,0,,,2450.89,,3550.315,100,50,100,50,-50
3323902,5,Male,1,0.954545455,100,0,1,instrumental_10,,,0,,4155.265,4361.51,,100,50,50,100,50
3323902,5,Male,1,0.954545455,100,,0,catch_1,0,,,5892.11,,,,nan,nan,nan,nan,nan
3323902,5,Male,1,0.954545455,100,,0,catch_2,1,,,5756.11,,,,nan,nan,nan,nan,nan
3326627,7,Female,2,1,100,0,0,instrumental_1,,1,,,5703.195,,7248.345,100,50,100,50,-50
3326627,7,Female,2,1,100,1,1,instrumental_2,,1,0,,15605.005,2052.73,10646.03,100,50,50,100,50
3326627,7,Female,2,1,100,1,1,instrumental_3,,0,1,,4215.35,6899.24,7845.52,100,50,50,100,50
