subject_ID,age_in_years,age_in_months,gender,gender_coded,age_group,age_group_coded,trial_number,answerL,answerR,confidenceL,confidenceR,condition,combination,RT_answerL,RT_answerR,RT_confidenceL,RT_confidenceR,items_countL,items_countR,uncertainty_level_L,uncertainty_level_R,n_fish_L,n_fish_R,n_cans_L,n_cans_R,q1,q2,q3,q4,q5,percent_comprehension
7509958,5,60,Male,1,5-Apr,0,1,1,0,3,5,trial_1,0,17295.6,9358.1,7060.3,7060.3,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",4,0,1,5,1,1,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,2,0,1,4,3,trial_7,0,6432.8,7919,5736.8,5736.8,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}",0,2,5,1,1,3,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,3,0,0,6,5,trial_4,1,8222.2,10296.4,7596.8,7596.8,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",3,1,1,4,2,1,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,4,1,1,6,6,trial_2,1,9325.9,15473.9,3913.5,3913.5,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",4,0,1,0,1,6,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,5,1,0,6,4,trial_3,0,9354.8,13552.7,4383.9,4383.9,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,2,1,3,1,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,6,0,1,6,3,trial_10,1,9138,7634.4,7719.3,7719.3,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",1,2,5,1,0,3,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,7,1,0,6,6,trial_6,1,6255.5,9470.5,4678.5,4678.5,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,0,1,5,1,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,8,1,0,4,6,trial_9,0,7662.5,13154.8,4106.3,4106.3,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}",2,3,0,0,4,3,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,9,0,1,1,6,trial_8,0,11392.8,10505.3,4601.7,4601.7,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",2,0,3,0,1,6,2,2,2,2,2,1
7509958,5,60,Male,1,5-Apr,0,10,0,0,3,6,trial_5,1,5723.3,6465.9,3868.2,3868.2,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",3,0,3,6,0,0,2,2,2,2,2,1
